title,genres,keywords,spoken_languages,overview,production_countries
A Man Apart,"Action, Drama","repayment, arbitrary law, cop, loss of wife","English, Español","When Vetter's wife is killed in a botched hit organized by Diablo, he seeks revenge against those responsible. But in the process, Vetter and Hicks have to fight their way up the chain to get to Diabl","Germany, United States of America"
Aloha,"Drama, Comedy, Romance","love triangle, hawaii, satellite, military, duringcreditsstinger, communication","Pусский, English",A celebrated military contractor returns to the site of his greatest career triumphs and re-connects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned t,United States of America
Ghosts of Mississippi,"History, Drama","assassin, widow, trial, civil rights, activist",English,"Ghosts of Mississippi is a drama covering the final trial of the assassin, Bryon De La Beckwith, of the 60s civil rights leader Medgar Evers. It begins with the murder and the events surrounding the t",United States of America
Snow Falling on Cedars,"Drama, Romance","journalist, japanese, wife, fisherman, war, bias, trial, washington state, japanese american","Deutsch, 日本語, English","A Japanese-American fisherman may have killed his neighbor Carl at sea. In the 1950s, race figures in the trial. So does reporter Ishmael.",United States of America
The Rite,"Drama, Thriller, Horror","vatican, violinist, hospital, miscarriage, exorcist, roman catholic, seminary, limp, toad, clergy, formalin, walking cane","English, Italiano, Magyar, Pусский, Latin, Cymraeg","Seminary student Michael Kovak (Colin O'Donoghue) reluctantly attends exorcism school at the Vatican. While he’s in Rome, Michael meets an unorthodox priest, Father Lucas (Anthony Hopkins), who introd","United States of America, Hungary, Italy"
Gattaca,"Thriller, Science Fiction, Mystery, Romance","paraplegic, suicide attempt, cheating, dna, spaceman, new identity, heart disease, false identity, blood sample, biotechnology, space mission, dystopia, investigation, genetics, hostility, exercise, eugenics, dystopic future","English, Esperanto",Science fiction drama about a future society in the era of indefinite eugenics where humans are set on a life course depending on their DNA. The young Vincent Freeman is born with a condition that wou,United States of America
Isn't She Great,"Drama, Comedy","autism, based on article",English,"An unsuccessful over-the-top actress becomes a successful over-the-top authoress in this biography of Jacqueline Susann, the famed writer of ""The Valley Of The Dolls"" and other trashy novels. Facing a",United States of America
Space Chimps,"Animation, Family","space marine, chimp, space, aftercreditsstinger",English,"Circus monkey Ham III works in a circus where he's regularly shot from a canon but he still lives in the shadow of his father's legacy. A natural born rebel against authority, Ham III is initially rel",United States of America
Head of State,Comedy,"usa, black people, usa president, presidential election, election campaign",English,"When a presidential candidate dies unexpectedly in the middle of the campaign, the Democratic party unexpectedly picks a Washington, D.C. alderman, Mays Gilliam (Rock) as his replacement .",United States of America
The Hangover,Comedy,"underwear, tiger, stag night, hangover, lost weekend, bag over head, chapel, hit with tire iron, memory loss, las vegas, duringcreditsstinger, elevator",English,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – ","Germany, United States of America"
Ip Man 3,"Action, Drama, History",biography,"广州话 / 廣州話, English, 普通话, ภาษาไทย","When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand.",Hong Kong
Austin Powers: The Spy Who Shagged Me,"Adventure, Comedy, Crime, Science Fiction","saving the world, moon, submarine, clone, spy, cia, showdown, android, usa president, exotic island, cat, lasergun, nasa, undercover, space marine, car journey, auto, time travel, supermodel, single, aftercreditsstinger, duringcreditsstinger","Deutsch, English","When diabolical genius, Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo’, Austin must return to the swingin' '60s himself – with the help of American agent, Felicity Shagwell – t",United States of America
Batman,"Fantasy, Action","double life, dc comics, dual identity, chemical, crime fighter, fictional place, gotham city, superhero, super powers","English, Français","The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker, who has seized control of Gotham's underworld.","United Kingdom, United States of America"
There Be Dragons,Drama,"spanish civil war, priest, independent film, catholic, dying, saint, martyrdom",English,"Arising out of the horror of the Spanish Civil War, a candidate for canonization is investigated by a journalist who discovers his own estranged father had a deep, dark and devastating connection to t",
Lethal Weapon 3,"Adventure, Action, Comedy, Thriller, Crime","rookie cop, dog biscuit, shooting practice, sitting on a toilet, judo throw, police psychologist, buddy cop, firing range, aftercreditsstinger",English,"Archetypal buddy cops Riggs and Murtaugh are back for another round of high-stakes action, this time setting their collective sights on bringing down a former Los Angeles police lieutenant turned blac",United States of America
The Blind Side,Drama,"american football, adoption, education, private school, sport, american football player, duringcreditsstinger",English,"Oversized African-American, Michael Oher, the teen from across the tracks and a broken home, has nowhere to sleep at age 16. Taken in by an affluent Memphis couple, Michael embarks on a remarkable ris",United States of America
Spy Kids,"Action, Comedy, Family, Adventure","double life, parents kids relationship, brother sister relationship, loss of parents, secret agent, robot","Español, English","Carmen and Juni think their parents are boring. Little do they know that in their day, Gregorio and Ingrid Cortez were the top secret agents from their respective countries. They gave up that life to ",United States of America
Horrible Bosses,"Comedy, Crime","conspiracy of murder, bad boss, employee, death of father, stakeout, duringcreditsstinger",English,"For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option, so, with the benefit of a few-to",United States of America
