title,genres,keywords,original_language,production_countries,spoken_languages
Mandela: Long Walk to Freedom,"Drama, History","prison, south africa, apartheid, biography, nelson mandela, historical figure",en,"United Kingdom, South Africa","English, Afrikaans"
Reds,"Drama, History","journalist, russian revolution 1917",en,United States of America,"German, Finnish, French, English"
A Few Good Men,Drama,"suicide, underdog, suspicion of murder, court case, navy, law, dying and death, guantanamo bay, marine corps, military court, code red, command, military base, u.s. navy, sexism, right and justice, based on play, court martial, flashback, platoon leader, military law",en,United States of America,English
Exit Wounds,"Action, Crime, Thriller","corruption, scandal, shadowing, police",en,"Canada, United States of America",Italiano
Big Momma's House,"Crime, Comedy",big,en,"Germany, United States of America",English
Thunder and the House of Magic,"Family, Fantasy, Animation, Adventure","magic, 3d",en,"Belgium, United States of America","German, French, English"
The Darkest Hour,"Horror, Action, Thriller, Science Fiction","alien invasion, american abroad, moscow, unlikely heroes, failed business",en,"United States of America, Russia",English
Step Up Revolution,"Music, Drama, Romance","flash mob, dance instructor, real estate development, nike, dance company",en,United States of America,English
Snakes on a Plane,"Action, Crime, Horror, Thriller","snake, suspense, fbi agent, death, animal attack, first class, duringcreditsstinger, snake attack, witness to a crime, plane",en,United States of America,English
The Watcher,"Mystery, Thriller","chicago, fbi, menace, covered investigation, state of emergency, investigation, suspense, serial killer, little girl, psychiatrist, fbi agent, psychotherapy",en,United States of America,"Tieng Viet, English"
The Punisher,"Action, Crime, Drama","chain, submachine gun, undercover, smuggling, twin brother, marvel comic, one man army, massacre, extreme violence, family reunion, pier",en,"Germany, United States of America",English
Goal!: The Dream Begins,Drama,"restaurant, sport, coach, athlete, newcastle united, computer games",en,"United Kingdom, United States of America","English, Spanish"
Safe,"Action, Crime, Thriller",broken trachea,en,United States of America,English
Pushing Tin,"Comedy, Drama","competition, airport, air controller, adversary",en,"Germany, United States of America",English
Return of the Jedi,"Adventure, Action, Science Fiction","rebel, brother sister relationship, emperor, space battle, matter of life and death, spaceship, death star, jabba the hutt, ewoks, jedi, space opera",en,United States of America,English
Doomsday,"Action, Thriller, Science Fiction","dystopia, quarantine, futuristic, sword fight, lethal virus",en,"Germany, United Kingdom, United States of America, South Africa",English
The Reader,"Drama, Romance","germany, war crimes, trial, female prisoner, teenager, law student, teenage sexuality, older woman younger man relationship, teenage sex, affair",en,"Germany, United States of America","English, German, Latin"
Wanderlust,Comedy,"hippie, commune, nudism, nude protest, aftercreditsstinger, duringcreditsstinger",en,United States of America,English
Elf,"Comedy, Family, Fantasy","holiday, elves, santa claus, looking for birth parents, romance, north pole, christmas",en,"United States of America, Germany",English
Phenomenon,"Drama, Fantasy, Romance, Science Fiction","brain tumor, telekinesis, genius, terminal illness, doctor, psionic power",en,United States of America,English
Snow Dogs,"Adventure, Comedy, Family","adoption, log cabin, alaska, sled dogs",en,"Canada, United States of America",English
Scrooged,"Fantasy, Comedy, Drama","holiday, tv ratings, comedy, scrooge, christmas carol, ghost, duringcreditsstinger, christmas",en,United States of America,English
Nacho Libre,"Comedy, Family","nun, sport, orphanage, ordensbruder, ringer, money",en,United States of America,"Spanish, English"
Bridesmaids,"Comedy, Romance","competition, jealousy, fight, materialism, bridesmaid, female friendship, fear of commitment, wealth, mother daughter relationship, wedding party, sexual humor, best friend, maid of honor, drunk, wedding dress, group of friends, casual sex, vanity, girl fight, missing woman, out of control",en,United States of America,English
This Is the End,"Action, Comedy","rape, monster, panic, friendship, celebrity, satire, party, possession, dark comedy, end of the world, apocalypse, drug, demon, self-referential, actor",en,United States of America,English
Stigmata,Horror,"vatican, miracle, christian, faith, clergyman, atheist",en,United States of America,"English, Italiano, Portugues"
Men of Honor,Drama,"diving, u.s. navy",en,United States of America,English
Takers,"Action, Crime, Drama, Thriller",heist,en,United States of America,English
The Big Wedding,Comedy,"adoption, marriage, divorce, birth mother",en,United States of America,"English, Spanish, Latin"
"Big Mommas: Like Father, Like Son","Crime, Comedy, Action","undercover, fbi, sequel, comedy, disguise, fbi agent, impersonation, duringcreditsstinger",en,United States of America,English
Source Code,"Thriller, Science Fiction, Mystery","bomb, identity, fantasy, bomber, suspicion, time travel, investigation, surrealism, soldier, helicopter pilot",en,"Canada, United States of America",English
Alive,"Action, Adventure, Drama, Thriller","rugby, stranded, survival, plane wreck, airplane crash, freezing, disaster movie",en,United States of America,"English, Portugues"
The Number 23,"Thriller, Drama, Mystery","suicide, based on novel, hotel room, obsession, sadomasochism, psychological thriller, killer, family, numbers",en,"Germany, United States of America",English
The Young and Prodigious T.S. Spivet,"Adventure, Drama, Family","train, cartographer",en,"Canada, France",English
1941,"Action, Comedy","submarine, california, world war ii, war ship, pearl harbor, satire, los angeles, anarchic comedy",en,United States of America,"English, German"
Dreamer: Inspired By a True Story,"Drama, Family","horse race, horse, kentucky, sport, based on true story, family relationships, father daughter relationship",en,,English
A History of Violence,"Drama, Thriller, Crime","robbery, double life, dual identity, small town, indiana, distrust, fight, self-defense, marriage, family relationships, mistaken identity, diner, lawyer, mobster, violence, attempted robbery",en,"United States of America, Canada, Germany",English
Transporter 2,"Action, Thriller, Crime","martial arts, war on drugs, kidnapping, bodyguard, baby-snatching",en,"France, United States of America","English, French, Italiano"
The Quick and the Dead,"Action, Western","gunslinger, revenge, prairie, shootout, pistol",en,"Japan, United States of America",English
Laws of Attraction,"Action, Comedy, Romance, Thriller","irland, rock star, court case, rivalry, falling in love, divorce lawyer",en,"Germany, Ireland, United Kingdom",English
Bringing Out the Dead,Drama,"new york, coma, ambulance, night life, drug addiction, hallucination, dying and death, night, ambulance man, alcoholism, teacher, hospital, violence, city, drug, illegal prostitution, road movie, euthanasia",en,United States of America,English
Repo Men,"Action, Science Fiction, Thriller, Crime","dystopia, evil corporation, repo man, aftercreditsstinger",en,"Canada, United States of America",English
Dragon Wars: D-War,"Fantasy, Drama, Horror, Action, Thriller, Science Fiction","giant snake, korea, building, dagger, south korea",ko,South Korea,"English, ,"
Bogus,"Fantasy, Comedy, Family","circus, magic, aunt, imaginary friend",en,United States of America,English
The Incredible Burt Wonderstone,Comedy,"magic, las vegas",en,United States of America,English
Cats Don't Dance,"Animation, Comedy, Family, Music","dance, musical, furry, talking animal, anthropomorphism, hollywood, singing, acting, movies",en,United States of America,"English, German"
Cradle Will Rock,Drama,,en,United States of America,English
The Good German,"War, Crime, Drama, Mystery, Romance, Thriller",,en,United States of America,"English, German"
George and the Dragon,Adventure,"swordplay, hero, sword, dragon",en,"Germany, United Kingdom, United States of America, Luxembourg",English
Apocalypse Now,"Drama, War","guerrilla, river, vietnam, vietcong, cambodia, army, insanity, tribe, green beret, jungle, apocalypse, death, napalm",en,United States of America,"English, French, Tieng Viet"
Going the Distance,"Comedy, Drama, Romance","male nudity, sex, san francisco, waitress, newspaper, bar, nudity, airplane, male female relationship, writer, new york city, masturbation, phone sex, text messaging, intern, long distance relationship, woman director, record company, skype",en,United States of America,English
Mr. Holland's Opus,"Music, Drama, Family","composer, mentor, deaf-mute, musical, apprentice, private life, music, disabled",en,United States of America,English
